"","Date","num_day","num_ind","num_dir","percent_ind"
"1","1/1/1994",62,4,58,6.89655172413793
"2","1/1/1995",122,0,122,0
"3","1/1/1996",67,0,67,0
"4","1/1/1997",70,1,69,1.44927536231884
"5","1/1/1998",66,2,64,3.125
"6","1/1/1999",63,4,59,6.77966101694915
"7","1/1/2000",62,3,59,5.08474576271187
"8","1/1/2001",75,5,70,7.14285714285714
"9","1/1/2002",68,4,64,6.25
"10","1/1/2003",71,4,67,5.97014925373134
"11","1/1/2004",65,1,64,1.5625
"12","1/1/2005",42,1,41,2.4390243902439
"13","1/1/2006",123,4,119,3.36134453781513
"14","1/1/2007",78,0,78,0
"15","1/1/2008",76,0,76,0
"16","1/1/2009",68,4,64,6.25
"17","1/1/2010",64,3,61,4.91803278688525
"18","1/1/2011",56,2,54,3.7037037037037
"19","1/1/2012",125,3,122,2.45901639344262
"20","1/1/2013",72,1,71,1.40845070422535
"21","1/1/2014",67,2,65,3.07692307692308
"22","1/1/2015",68,7,61,11.4754098360656
"23","1/1/2016",59,5,54,9.25925925925926
"24","1/1/2017",137,5,132,3.78787878787879
"25","1/1/2018",70,1,69,1.44927536231884
"26","1/1/2019",74,0,74,0
"27","1/1/2020",68,1,67,1.49253731343284
"28","1/1/2021",68,4,64,6.25
"29","1/10/1994",65,1,64,1.5625
"30","1/10/1995",66,0,66,0
"31","1/10/1996",70,2,68,2.94117647058824
"32","1/10/1997",65,0,65,0
"33","1/10/1998",58,0,58,0
"34","1/10/1999",126,5,121,4.13223140495868
"35","1/10/2000",77,1,76,1.31578947368421
"36","1/10/2001",73,0,73,0
"37","1/10/2002",70,3,67,4.47761194029851
"38","1/10/2003",53,1,52,1.92307692307692
"39","1/10/2004",57,1,56,1.78571428571429
"40","1/10/2005",75,0,75,0
"41","1/10/2006",73,1,72,1.38888888888889
"42","1/10/2007",74,2,72,2.77777777777778
"43","1/10/2008",70,4,66,6.06060606060606
"44","1/10/2009",61,1,60,1.66666666666667
"45","1/10/2010",133,3,130,2.30769230769231
"46","1/10/2011",74,1,73,1.36986301369863
"47","1/10/2012",72,0,72,0
"48","1/10/2013",74,2,72,2.77777777777778
"49","1/10/2014",55,5,50,10
"50","1/10/2015",55,7,48,14.5833333333333
"51","1/10/2016",133,2,131,1.52671755725191
"52","1/10/2017",76,0,76,0
"53","1/10/2018",71,9,62,14.5161290322581
"54","1/10/2019",71,4,67,5.97014925373134
"55","1/10/2020",63,2,61,3.27868852459016
"56","1/10/2021",124,6,118,5.08474576271187
"57","1/11/1994",76,2,74,2.7027027027027
"58","1/11/1995",68,1,67,1.49253731343284
"59","1/11/1996",70,2,68,2.94117647058824
"60","1/11/1997",63,1,62,1.61290322580645
"61","1/11/1998",128,3,125,2.4
"62","1/11/1999",75,1,74,1.35135135135135
"63","1/11/2000",74,4,70,5.71428571428571
"64","1/11/2001",65,1,64,1.5625
"65","1/11/2002",56,1,55,1.81818181818182
"66","1/11/2003",68,3,65,4.61538461538462
"67","1/11/2004",124,1,123,0.813008130081301
"68","1/11/2005",72,2,70,2.85714285714286
"69","1/11/2006",66,2,64,3.125
"70","1/11/2007",66,2,64,3.125
"71","1/11/2008",65,4,61,6.55737704918033
"72","1/11/2009",124,5,119,4.20168067226891
"73","1/11/2010",71,0,71,0
"74","1/11/2011",71,1,70,1.42857142857143
"75","1/11/2012",70,3,67,4.47761194029851
"76","1/11/2013",63,3,60,5
"77","1/11/2014",54,4,50,8
"78","1/11/2015",127,9,118,7.6271186440678
"79","1/11/2016",77,4,73,5.47945205479452
"80","1/11/2017",72,2,70,2.85714285714286
"81","1/11/2018",65,6,59,10.1694915254237
"82","1/11/2019",66,2,64,3.125
"83","1/11/2020",64,5,59,8.47457627118644
"84","1/11/2021",73,4,69,5.79710144927536
"85","1/12/1994",78,5,73,6.84931506849315
"86","1/12/1995",68,2,66,3.03030303030303
"87","1/12/1996",64,0,64,0
"88","1/12/1997",155,2,153,1.30718954248366
"89","1/12/1998",74,5,69,7.2463768115942
"90","1/12/1999",75,5,70,7.14285714285714
"91","1/12/2000",73,3,70,4.28571428571429
"92","1/12/2001",61,3,58,5.17241379310345
"93","1/12/2002",63,2,61,3.27868852459016
"94","1/12/2003",131,5,126,3.96825396825397
"95","1/12/2004",76,1,75,1.33333333333333
"96","1/12/2005",73,2,71,2.8169014084507
"97","1/12/2006",76,1,75,1.33333333333333
"98","1/12/2007",59,2,57,3.50877192982456
"99","1/12/2008",62,4,58,6.89655172413793
"100","1/12/2009",72,1,71,1.40845070422535
"101","1/12/2010",73,5,68,7.35294117647059
"102","1/12/2011",68,1,67,1.49253731343284
"103","1/12/2012",75,0,75,0
"104","1/12/2013",64,5,59,8.47457627118644
"105","1/12/2014",129,4,125,3.2
"106","1/12/2015",74,0,74,0
"107","1/12/2016",78,2,76,2.63157894736842
"108","1/12/2017",68,3,65,4.61538461538462
"109","1/12/2018",50,1,49,2.04081632653061
"110","1/12/2019",52,3,49,6.12244897959184
"111","1/12/2020",129,2,127,1.5748031496063
"112","1/12/2021",68,2,66,3.03030303030303
"113","1/13/1994",74,4,70,5.71428571428571
"114","1/13/1995",73,1,72,1.38888888888889
"115","1/13/1996",57,0,57,0
"116","1/13/1997",76,0,76,0
"117","1/13/1998",75,0,75,0
"118","1/13/1999",71,1,70,1.42857142857143
"119","1/13/2000",68,3,65,4.61538461538462
"120","1/13/2001",66,0,66,0
"121","1/13/2002",126,1,125,0.8
"122","1/13/2003",73,1,72,1.38888888888889
"123","1/13/2004",67,0,67,0
"124","1/13/2005",74,2,72,2.77777777777778
"125","1/13/2006",59,1,58,1.72413793103448
"126","1/13/2007",57,1,56,1.78571428571429
"127","1/13/2008",122,4,118,3.38983050847458
"128","1/13/2009",77,0,77,0
"129","1/13/2010",73,2,71,2.8169014084507
"130","1/13/2011",67,0,67,0
"131","1/13/2012",60,5,55,9.09090909090909
"132","1/13/2013",121,6,115,5.21739130434783
"133","1/13/2014",70,0,70,0
"134","1/13/2015",74,1,73,1.36986301369863
"135","1/13/2016",69,4,65,6.15384615384615
"136","1/13/2017",65,2,63,3.17460317460317
"137","1/13/2018",61,0,61,0
"138","1/13/2019",123,1,122,0.819672131147541
"139","1/13/2020",70,1,69,1.44927536231884
"140","1/13/2021",68,9,59,15.2542372881356
"141","1/14/1994",62,2,60,3.33333333333333
"142","1/14/1995",68,0,68,0
"143","1/14/1996",126,3,123,2.4390243902439
"144","1/14/1997",74,0,74,0
"145","1/14/1998",71,1,70,1.42857142857143
"146","1/14/1999",71,2,69,2.89855072463768
"147","1/14/2000",64,0,64,0
"148","1/14/2001",128,4,124,3.2258064516129
"149","1/14/2002",72,2,70,2.85714285714286
"150","1/14/2003",76,3,73,4.10958904109589
"151","1/14/2004",72,2,70,2.85714285714286
"152","1/14/2005",59,1,58,1.72413793103448
"153","1/14/2006",64,4,60,6.66666666666667
"154","1/14/2007",131,1,130,0.769230769230769
"155","1/14/2008",74,0,74,0
"156","1/14/2009",65,0,65,0
"157","1/14/2010",68,4,64,6.25
"158","1/14/2011",64,4,60,6.66666666666667
"159","1/14/2012",42,6,36,16.6666666666667
"160","1/14/2013",72,1,71,1.40845070422535
"161","1/14/2014",80,1,79,1.26582278481013
"162","1/14/2015",74,4,70,5.71428571428571
"163","1/14/2016",64,2,62,3.2258064516129
"164","1/14/2017",63,3,60,5
"165","1/14/2018",130,6,124,4.83870967741935
"166","1/14/2019",72,1,71,1.40845070422535
"167","1/14/2020",74,1,73,1.36986301369863
"168","1/14/2021",76,4,72,5.55555555555556
"169","1/15/1994",62,4,58,6.89655172413793
"170","1/15/1995",125,1,124,0.806451612903226
"171","1/15/1996",73,0,73,0
"172","1/15/1997",74,2,72,2.77777777777778
"173","1/15/1998",71,0,71,0
"174","1/15/1999",63,1,62,1.61290322580645
"175","1/15/2000",59,6,53,11.3207547169811
"176","1/15/2001",75,0,75,0
"177","1/15/2002",70,4,66,6.06060606060606
"178","1/15/2003",75,3,72,4.16666666666667
"179","1/15/2004",72,2,70,2.85714285714286
"180","1/15/2005",57,3,54,5.55555555555556
"181","1/15/2006",130,7,123,5.69105691056911
"182","1/15/2007",77,1,76,1.31578947368421
"183","1/15/2008",75,0,75,0
"184","1/15/2009",68,5,63,7.93650793650794
"185","1/15/2010",50,3,47,6.38297872340426
"186","1/15/2011",57,2,55,3.63636363636364
"187","1/15/2012",128,3,125,2.4
"188","1/15/2013",70,0,70,0
"189","1/15/2014",69,0,69,0
"190","1/15/2015",68,4,64,6.25
"191","1/15/2016",59,6,53,11.3207547169811
"192","1/15/2017",124,4,120,3.33333333333333
"193","1/15/2018",71,3,68,4.41176470588235
"194","1/15/2019",64,3,61,4.91803278688525
"195","1/15/2020",76,1,75,1.33333333333333
"196","1/15/2021",61,6,55,10.9090909090909
"197","1/16/1994",127,2,125,1.6
"198","1/16/1995",72,1,71,1.40845070422535
"199","1/16/1996",73,1,72,1.38888888888889
"200","1/16/1997",69,2,67,2.98507462686567
"201","1/16/1998",62,3,59,5.08474576271187
"202","1/16/1999",66,2,64,3.125
"203","1/16/2000",126,3,123,2.4390243902439
"204","1/16/2001",79,0,79,0
"205","1/16/2002",72,0,72,0
"206","1/16/2003",73,2,71,2.8169014084507
"207","1/16/2004",62,3,59,5.08474576271187
"208","1/16/2005",123,1,122,0.819672131147541
"209","1/16/2006",71,0,71,0
"210","1/16/2007",73,2,71,2.8169014084507
"211","1/16/2008",69,3,66,4.54545454545455
"212","1/16/2009",62,4,58,6.89655172413793
"213","1/16/2010",60,4,56,7.14285714285714
"214","1/16/2011",125,7,118,5.93220338983051
"215","1/16/2012",73,0,73,0
"216","1/16/2013",74,1,73,1.36986301369863
"217","1/16/2014",73,4,69,5.79710144927536
"218","1/16/2015",61,4,57,7.01754385964912
"219","1/16/2016",62,7,55,12.7272727272727
"220","1/16/2017",72,0,72,0
"221","1/16/2018",75,2,73,2.73972602739726
"222","1/16/2019",67,0,67,0
"223","1/16/2020",73,4,69,5.79710144927536
"224","1/16/2021",51,4,47,8.51063829787234
"225","1/17/1994",70,5,65,7.69230769230769
"226","1/17/1995",75,0,75,0
"227","1/17/1996",71,1,70,1.42857142857143
"228","1/17/1997",58,4,54,7.40740740740741
"229","1/17/1998",66,5,61,8.19672131147541
"230","1/17/1999",134,7,127,5.51181102362205
"231","1/17/2000",72,0,72,0
